[BrainBitSignalData(PackNum=22, Marker=0, O1=0.1564603390315428, O2=0.17776239181746656, T3=0.1349538182771857, T4=0.19980030040769617), BrainBitSignalData(PackNum=22, Marker=0, O1=0.156091457454164, O2=0.17733323796581074, T3=0.13465894189733688, T4=0.19932002956393202)]
[BrainBitSignalData(PackNum=23, Marker=0, O1=0.1556153827813938, O2=0.17675950694990822, T3=0.13428929737977732, T4=0.1988313663781799), BrainBitSignalData(PackNum=23, Marker=0, O1=0.1552823593925089, O2=0.17642305033021005, T3=0.13399785423074173, T4=0.19836673580812056)]
[BrainBitSignalData(PackNum=24, Marker=0, O1=0.15493789190091314, O2=0.1760320434875903, T3=0.13366826407267005, T4=0.19789294995589252), BrainBitSignalData(PackNum=24, Marker=0, O1=0.1545381112462151, O2=0.17555177264382615, T3=0.13331273394845386, T4=0.1974191641036645)]
[BrainBitSignalData(PackNum=25, Marker=0, O1=0.1541799108313664, O2=0.1751451255275016, T3=0.1329781846792075, T4=0.19694766707197864), BrainBitSignalData(PackNum=25, Marker=0, O1=0.15382743246787306, O2=0.1747636554371409, T3=0.13272336265884654, T4=0.1964826550318289)]
[BrainBitSignalData(PackNum=26, Marker=0, O1=0.15350890494242186, O2=0.17441613618482227, T3=0.1324418377321603, T4=0.19604396442791408), BrainBitSignalData(PackNum=26, Marker=0, O1=0.1531606227499225, O2=0.17396066089693155, T3=0.13213360989914885, T4=0.1955667453448728)]
[BrainBitSignalData(PackNum=27, Marker=0, O1=0.1528546837374532, O2=0.17361619340533582, T3=0.13183262999785422, T4=0.19515246882674106), BrainBitSignalData(PackNum=27, Marker=0, O1=0.15250945330567675, O2=0.17326218916148106, T3=0.13154385713945116, T4=0.19472712967598885)]
[BrainBitSignalData(PackNum=28, Marker=0, O1=0.15228018978136995, O2=0.1730317812269032, T3=0.13126614691366856, T4=0.19435824809861002), BrainBitSignalData(PackNum=28, Marker=0, O1=0.15178580454426246, O2=0.1723508571156093, T3=0.13101094342321723, T4=0.19387645137448442)]
[BrainBitSignalData(PackNum=29, Marker=0, O1=0.15158362539637127, O2=0.1721429559163627, T3=0.1307908351810791, T4=0.19350528097656344), BrainBitSignalData(PackNum=29, Marker=0, O1=0.15134787688052834, O2=0.17191331092196552, T3=0.13055508666523616, T4=0.1931676799465942)]
[BrainBitSignalData(PackNum=30, Marker=0, O1=0.15104956726986626, O2=0.17156579166964692, T3=0.13027432467873065, T4=0.19279498366831177), BrainBitSignalData(PackNum=30, Marker=0, O1=0.1506635195384212, O2=0.17110955344157547, T3=0.1299969959230384, T4=0.19237918126981857)]
[BrainBitSignalData(PackNum=31, Marker=0, O1=0.15043501895429512, O2=0.1708917340199795, T3=0.12976811386882198, T4=0.19205493169301194), BrainBitSignalData(PackNum=31, Marker=0, O1=0.15022368452423526, O2=0.17063080847817277, T3=0.12952435448108146, T4=0.19170207185942828)]
[BrainBitSignalData(PackNum=32, Marker=0, O1=0.149880742913001, O2=0.17019555110507117, T3=0.12930386476885297, T4=0.19130381708509167), BrainBitSignalData(PackNum=32, Marker=0, O1=0.1495919700545979, O2=0.16986367212645734, T3=0.12907650859499797, T4=0.19093875020861645)]
[BrainBitSignalData(PackNum=33, Marker=0, O1=0.14940810147104405, O2=0.16963898624323487, T3=0.12885449300240803, T4=0.19062975943542426), BrainBitSignalData(PackNum=33, Marker=0, O1=0.14920973702405646, O2=0.16942078535154853, T3=0.12863781799108315, T4=0.19029673604653935)]
[BrainBitSignalData(PackNum=34, Marker=0, O1=0.14882368929261142, O2=0.16894394773859764, T3=0.1283273013375295, T4=0.1899125956655461), BrainBitSignalData(PackNum=34, Marker=0, O1=0.14860434399065398, O2=0.16871621009465226, T3=0.1281274110101805, T4=0.18960818253343825)]
[BrainBitSignalData(PackNum=35, Marker=0, O1=0.14839110221014234, O2=0.16847283217700212, T3=0.12792790215292182, T4=0.1892957585294328), BrainBitSignalData(PackNum=35, Marker=0, O1=0.14819121188279333, O2=0.1682691271487495, T3=0.12777226235605466, T4=0.1889917268674153)]
[BrainBitSignalData(PackNum=36, Marker=0, O1=0.1478368261688482, O2=0.1678086927496841, T3=0.12754299883174786, T4=0.18861826764895215), BrainBitSignalData(PackNum=36, Marker=0, O1=0.14764837994421, O2=0.16764008296974467, T3=0.12734272703430846, T4=0.18832377273919368)]
[BrainBitSignalData(PackNum=37, Marker=0, O1=0.147434756693608, O2=0.16740891209498607, T3=0.12713787759578477, T4=0.18807238394964595), BrainBitSignalData(PackNum=37, Marker=0, O1=0.14719824523758435, O2=0.16713120186920344, T3=0.12696125694394775, T4=0.18778322962115251)]
[BrainBitSignalData(PackNum=38, Marker=0, O1=0.14693808263595834, O2=0.1668168705147462, T3=0.12673504518036383, T4=0.18743723624919534), BrainBitSignalData(PackNum=38, Marker=0, O1=0.14675955463366952, O2=0.16659676227260806, T3=0.126546980425816, T4=0.1871782180578404)]
[BrainBitSignalData(PackNum=39, Marker=0, O1=0.14659208926400114, O2=0.16642853396275897, T3=0.1263730300646115, T4=0.18693331425982881), BrainBitSignalData(PackNum=39, Marker=0, O1=0.14632849343156187, O2=0.16608292206089217, T3=0.12615711799346732, T4=0.18662279760627518)]
[BrainBitSignalData(PackNum=40, Marker=0, O1=0.1460942707960804, O2=0.1658357294423384, T3=0.126008726128317, T4=0.18634737620103475), BrainBitSignalData(PackNum=40, Marker=0, O1=0.14593290894785782, O2=0.16564575733733877, T3=0.12586033426316667, T4=0.18609865770211956)]
[BrainBitSignalData(PackNum=41, Marker=0, O1=0.14578032091171353, O2=0.16549660253200774, T3=0.12568600243187183, T4=0.18586252771618625), BrainBitSignalData(PackNum=41, Marker=0, O1=0.14547056719834062, O2=0.1650838518942374, T3=0.12546055360846864, T4=0.18552759697684953)]
[BrainBitSignalData(PackNum=42, Marker=0, O1=0.14533209355553967, O2=0.16494003767017143, T3=0.12529919176024606, T4=0.18529528169181986), BrainBitSignalData(PackNum=42, Marker=0, O1=0.14516500965596166, O2=0.16476875759959947, T3=0.12512218963831867, T4=0.1850637293469709)]
[BrainBitSignalData(PackNum=43, Marker=0, O1=0.14501165867963664, O2=0.16460319958038291, T3=0.12496540543118041, T4=0.18480204086498345), BrainBitSignalData(PackNum=43, Marker=0, O1=0.14471067877834204, O2=0.1642263071311065, T3=0.12477238156545789, T4=0.18452928975037552)]
[BrainBitSignalData(PackNum=44, Marker=0, O1=0.14458059747752902, O2=0.164112629044179, T3=0.12466328111961472, T4=0.18433855470519514), BrainBitSignalData(PackNum=44, Marker=0, O1=0.14445433087761964, O2=0.16394897837541425, T3=0.1245400662804282, T4=0.18410814677061726)]
[BrainBitSignalData(PackNum=45, Marker=0, O1=0.14426741053334288, O2=0.1637174260305653, T3=0.12436077533795867, T4=0.1839059676227261), BrainBitSignalData(PackNum=45, Marker=0, O1=0.14400572205135542, O2=0.16341606465918032, T3=0.12416202942088073, T4=0.18363245356793745)]
