[BrainBitSignalData(PackNum=25, Marker=0, O1=0.4, O2=0.319372863171447, T3=0.21551686813055815, T4=0.33710283003123287), BrainBitSignalData(PackNum=25, Marker=0, O1=0.4, O2=0.31745979066828794, T3=0.21383344062179627, T4=0.3351703025534654)]
[BrainBitSignalData(PackNum=26, Marker=0, O1=0.4, O2=0.3155608325584722, T3=0.21218625277161862, T4=0.333233578904704), BrainBitSignalData(PackNum=26, Marker=0, O1=0.4, O2=0.3137076508594998, T3=0.2105653863576759, T4=0.3313540757694967)]
[BrainBitSignalData(PackNum=27, Marker=0, O1=0.4, O2=0.31193572228977423, T3=0.20900021457692583, T4=0.32954400019073504), BrainBitSignalData(PackNum=27, Marker=0, O1=0.4, O2=0.310214910712157, T3=0.20748081920701905, T4=0.3277911451255275)]
[BrainBitSignalData(PackNum=28, Marker=0, O1=0.4, O2=0.30847082945902776, T3=0.20600605583768447, T4=0.32600472069236824), BrainBitSignalData(PackNum=28, Marker=0, O1=0.4, O2=0.3068167751472236, T3=0.2045721097680185, T4=0.3243319743461364)]
[BrainBitSignalData(PackNum=29, Marker=0, O1=0.4, O2=0.3051989604940038, T3=0.20315075221133444, T4=0.32270080823975394), BrainBitSignalData(PackNum=29, Marker=0, O1=0.4, O2=0.3036212002002718, T3=0.20175762344133705, T4=0.32110092268078105)]
[BrainBitSignalData(PackNum=30, Marker=0, O1=0.4, O2=0.30203466609446156, T3=0.20040683785136973, T4=0.3194655604034046), BrainBitSignalData(PackNum=30, Marker=0, O1=0.4, O2=0.3005480771523258, T3=0.19910869513387217, T4=0.3179415873924135)]
[BrainBitSignalData(PackNum=31, Marker=0, O1=0.4, O2=0.2990813246548888, T3=0.19783839973297093, T4=0.31644736904847054), BrainBitSignalData(PackNum=31, Marker=0, O1=0.39900894070524284, O2=0.297640130653506, T3=0.19657954843478054, T4=0.31497298714922634)]
[BrainBitSignalData(PackNum=32, Marker=0, O1=0.3964343990653983, O2=0.29622411367808693, T3=0.1953611329661684, T4=0.313515389933958), BrainBitSignalData(PackNum=32, Marker=0, O1=0.39391822234937895, O2=0.294846243711704, T3=0.194172090694514, T4=0.3121409531983883)]
[BrainBitSignalData(PackNum=33, Marker=0, O1=0.3914569773263715, O2=0.2935046134039053, T3=0.1929944925255704, T4=0.3108080967026679), BrainBitSignalData(PackNum=33, Marker=0, O1=0.38903235343203874, O2=0.2921725198483656, T3=0.1918146055360847, T4=0.30943327849700786)]
[BrainBitSignalData(PackNum=34, Marker=0, O1=0.3866424433159288, O2=0.29080418663424173, T3=0.1907148272655747, T4=0.30801802446176957), BrainBitSignalData(PackNum=34, Marker=0, O1=0.38437612950909567, O2=0.28957013089192474, T3=0.18961695634551654, T4=0.30677557637746466)]
[BrainBitSignalData(PackNum=35, Marker=0, O1=0.3821399518394011, O2=0.2883601077653005, T3=0.1885293851178981, T4=0.3055251174212622), BrainBitSignalData(PackNum=35, Marker=0, O1=0.37991712562286917, O2=0.28710468969792335, T3=0.1874921679422073, T4=0.30422964499439714)]
[BrainBitSignalData(PackNum=36, Marker=0, O1=0.37778775957847555, O2=0.285929380349522, T3=0.18648317955320315, T4=0.3030375509620199), BrainBitSignalData(PackNum=36, Marker=0, O1=0.3756957776029373, O2=0.2847784850869037, T3=0.18550470877142788, T4=0.301878644827504)]
[BrainBitSignalData(PackNum=37, Marker=0, O1=0.37365071644851344, O2=0.2836550556707913, T3=0.18453386739145985, T4=0.30074834894976515), BrainBitSignalData(PackNum=37, Marker=0, O1=0.37160679970436067, O2=0.2824816536728417, T3=0.18357942922537732, T4=0.29954481081467704)]
[BrainBitSignalData(PackNum=38, Marker=0, O1=0.3696513840211716, O2=0.28141468183010276, T3=0.18264673485444533, T4=0.2984641060486851), BrainBitSignalData(PackNum=38, Marker=0, O1=0.36773564122738, O2=0.2803656390816108, T3=0.1817319695777603, T4=0.2973921750947715)]
